half_seconds	series1_bpm	series2_bpm	series3_bpm	series4_bpm
374	86.6695	100.524	56.8119	59.1082
375	87.9053	101.074	57.8966	58.8356
376	88.7574	101.351	57.9016	59.3006
377	89.7532	101.351	57.5675	60.0156
378	90.8726	101.569	57.8215	60.9914
379	90.3864	101.569	58.3827	61.2017
380	87.0231	101.569	59.9466	60.706
381	83.496	100.623	62.2953	60.0781
382	82.9967	99.6296	62.7598	59.3637
383	85.7531	99.6296	61.9784	58.6899
384	87.3753	104.167	61.3605	58.0085
385	86.2487	103.917	60.8607	57.493
386	85.8621	103.75	61.6014	57.0559
387	85.9744	104.14	62.7496	56.9685
388	87.5862	104.671	61.5266	57.4056
389	89.394	104.826	59.7759	58.2587
390	89.2899	104.102	59.7759	60.4043
391	89.5466	103.448	59.7759	62.1979
392	90.5282	103.448	59.7759	62.8518
393	91.0023	103.23	59.7759	62.3261
394	91.6818	102.876	59.7759	60.0923
395	92.9149	102.839	59.7759	59.1013
396	94.4236	103.151	68.1561	59.8101
397	95.0212	103.051	65.9924	59.5564
398	94.5112	103.077	63.8354	57.845
399	93.6224	103.716	64.0985	56.6364
400	93.4402	104.092	64.7563	56.0051
401	92.7995	104.167	65.6233	55.4657
402	91.125	104.167	65.6696	54.7637
403	89.8247	104.167	63.4755	54.1516
404	91.2112	104.178	61.79	54.3312
405	93.5647	104.543	61.286	54.5281
406	94.4258	104.572	61.0796	54.7596
407	95.0425	104.207	61.3295	55.0604
408	94.4881	104.167	61.0777	55.2565
409	93.75	104.167	60.2204	55.4608
410	93.9316	103.967	59.9816	55.7126
411	94.5385	103.293	60.4655	56.1303
412	95.4434	103.134	61.8744	56.0891
413	94.8365	103.448	64.2611	54.8721
414	93.2778	103.168	65.0487	53.9545
415	92.4055	103.034	64.3489	53.8578
416	91.5635	102.989	63.6846	53.7634
417	90.471	102.418	63.1459	53.3886
418	90.5367	102.08	64.2304	52.9153
419	91.5154	102.429	65.509	52.9635
420	91.35	102.084	63.5289	53.2455
421	89.3208	101.918	61.3481	53.6487
422	88.1802	102.573	60.0222	54.6336
423	89.1291	102.74	58.8565	55.2984
424	90.2812	102.74	59.4447	54.797
425	92.0564	102.74	59.9933	54.3478
426	92.9032	102.74	59.8738	54.086
427	91.9195	102.74	59.7842	53.7938
428	90.166	102.74	60.2681	53.8276
